,show_sea_ep,ep_title,airdate,synopsis,IMDB_ID,IMDB_user_rating,num_IMDB_usr_rtgs,season,episode,series,year
0,Star Trek: Voyager - Season 7 - 1,Unimatrix Zero: Part II,2000-10-04,"Although captured, Capt. Janeway squares off with the Borg Queen after successfully introducing the Doctor's pathogen to the Borg Central Plexus. Supply the cure or watch thousands die.",https://www.imdb.com/title/tt0709004,8.0,1034,7,1,VOY,2000
1,Star Trek: Voyager - Season 7 - 2,Imperfection,2000-10-11,"Seven of Nine's life is threatened when her cortical implants begin to degrade. Icheb wants to help her, but his proposition is very risky.",https://www.imdb.com/title/tt0708911,7.8,1001,7,2,VOY,2000
2,Star Trek: Voyager - Season 7 - 3,Drive,2000-10-18,"With Janeway's approval, Paris enters the Delta Flyer in an inter-species, light-speed shuttle race. Four races, once at war, are holding the race as a celebration of their peace treaty. Wrapped up in competition, Paris forgets a promise to spend a weekend with B'Elanna. Torres is hurt but, with advice from Seven of all people, she decides to partake in the race as Paris' co-pilot. When the race is underway, the couple realize their participation was intentional; the Delta Flyer has been rigged as a bomb by one of the racers seeking to end accord with a bang.",https://www.imdb.com/title/tt0708881,7.2,943,7,3,VOY,2000
3,Star Trek: Voyager - Season 7 - 4,Repression,2000-10-25,Security officer Tuvok is investigating a strange series of attacks on Voyager directed at the former Maquis members.,https://www.imdb.com/title/tt0708959,6.8,899,7,4,VOY,2000
4,Star Trek: Voyager - Season 7 - 5,Critical Care,2000-11-01,"The Doctor is stolen from Voyager by an alien who sells him and his mobile emitter to a hospital on a densely-populated planet. He is activated in a cramped room filled with sick people and is made to treat them using only very basic equipment. When the administrators of the facility realise how skilled the Doctor is, they move him to another area of the hospital to treat more deserving patients. The Doctor is appalled to learn that the medical care that people are given is linked to their status in society and hatches a plan to make things a little less ...",https://www.imdb.com/title/tt0708870,7.9,989,7,5,VOY,2000
5,Star Trek: Voyager - Season 7 - 6,Inside Man,2000-11-08,Direct from Starfleet a hologram of Barclay arrives with instructions to get Voyager home within three days. The Doctor suspects that there is something wrong with the hologram.,https://www.imdb.com/title/tt0708916,7.5,930,7,6,VOY,2000
6,Star Trek: Voyager - Season 7 - 7,Body and Soul,2000-11-15,"When attacked by a species that detests holographic beings, Seven download the Doctor's program into her implants. Kim and Seven are captured and Seven begins to exhibit some of the Doctor's personality traits. On Voyager, Tuvok finally starts to exhibit Pon Farr, the Vulcan mating time.",https://www.imdb.com/title/tt0708859,8.0,1055,7,7,VOY,2000
7,Star Trek: Voyager - Season 7 - 8,Nightingale,2000-12-06,"When Voyager comes to the aid of a medical transport, Harry Kim gets his first command.",https://www.imdb.com/title/tt0708937,6.7,884,7,8,VOY,2000
8,Star Trek: Voyager - Season 7 - 9,Flesh and Blood,2000-11-29,The Hirogen species sends Voyager a distress call when their holographic prey become too cunning and cannot be defeated.,https://www.imdb.com/title/tt0394912,7.7,962,7,9,VOY,2000
9,Star Trek: Voyager - Season 7 - 10,Flesh and Blood: Part II,2000-11-29,"Free from their pursuers, the leader of the holograms decides to continue the crusade against the organics in order to liberate all holograms, everywhere. The Doctor finally realises what he had done and comes up with a plan to redeem himself.",https://www.imdb.com/title/tt1288527,7.7,845,7,10,VOY,2000
